day,month,week,hour,input,output
0,1,3,10,"[8289.0, 8291.85, 8285.2, 8281.9, 8281.5, 8286.2, 8284.55, 8280.05, 8275.5, 8274.05, 8280.35, 8281.6, 8282.9, 8285.65, 8284.1, 8288.85, 8290.05, 8292.65, 8295.45, 8294.05, 8293.25, 8291.65, 8290.3, 8292.45, 8293.15, 8291.3, 8296.5, 8297.0, 8296.4, 8293.35, 8292.75, 8291.25, 8292.2, 8291.45, 8288.05, 8285.75, 8286.3, 8285.95, 8284.25, 8281.4, 8283.2, 8284.95, 8284.8, 8285.3, 8285.7, 8285.1, 8284.9, 8287.15, 8290.6, 8288.7, 8284.45, 8285.3, 8281.85, 8280.6, 8279.25, 8279.15, 8282.15, 8285.55, 8284.2, 8284.35]","[8289.0, 8291.85, 8285.2, 8281.9, 8281.5, 8286.2, 8284.55, 8280.05, 8275.5, 8274.05, 8280.35, 8281.6, 8282.9, 8285.65, 8284.1, 8288.85, 8290.05, 8292.65, 8295.45, 8294.05, 8293.25, 8291.65, 8290.3, 8292.45, 8293.15, 8291.3, 8296.5, 8297.0, 8296.4, 8293.35, 8292.75, 8291.25, 8292.2, 8291.45, 8288.05, 8285.75, 8286.3, 8285.95, 8284.25, 8281.4, 8283.2, 8284.95, 8284.8, 8285.3, 8285.7, 8285.1, 8284.9, 8287.15, 8290.6, 8288.7, 8284.45, 8285.3, 8281.85, 8280.6, 8279.25, 8279.15, 8282.15, 8285.55, 8284.2, 8284.35, 8287.4, 8285.95, 8286.5, 8287.05, 8286.15, 8283.55, 8283.35, 8283.65, 8284.05, 8283.9, 8282.95, 8283.95, 8284.05, 8281.8, 8281.35, 8277.3, 8277.55, 8279.25, 8279.9, 8281.3, 8282.55, 8282.0, 8284.85, 8284.75, 8283.7, 8283.7, 8284.6, 8285.6, 8283.2, 8285.95]"
0,1,3,11,"[8287.4, 8285.95, 8286.5, 8287.05, 8286.15, 8283.55, 8283.35, 8283.65, 8284.05, 8283.9, 8282.95, 8283.95, 8284.05, 8281.8, 8281.35, 8277.3, 8277.55, 8279.25, 8279.9, 8281.3, 8282.55, 8282.0, 8284.85, 8284.75, 8283.7, 8283.7, 8284.6, 8285.6, 8283.2, 8285.95, 8286.7, 8287.0, 8288.85, 8289.15, 8286.5, 8287.4, 8286.65, 8284.2, 8284.85, 8281.45, 8280.5, 8282.75, 8281.2, 8283.4, 8280.95, 8281.65, 8279.8, 8280.8, 8280.6, 8280.65, 8284.25, 8282.75, 8285.4, 8284.8, 8284.65, 8285.55, 8287.1, 8288.2, 8287.5, 8287.75]","[8287.4, 8285.95, 8286.5, 8287.05, 8286.15, 8283.55, 8283.35, 8283.65, 8284.05, 8283.9, 8282.95, 8283.95, 8284.05, 8281.8, 8281.35, 8277.3, 8277.55, 8279.25, 8279.9, 8281.3, 8282.55, 8282.0, 8284.85, 8284.75, 8283.7, 8283.7, 8284.6, 8285.6, 8283.2, 8285.95, 8286.7, 8287.0, 8288.85, 8289.15, 8286.5, 8287.4, 8286.65, 8284.2, 8284.85, 8281.45, 8280.5, 8282.75, 8281.2, 8283.4, 8280.95, 8281.65, 8279.8, 8280.8, 8280.6, 8280.65, 8284.25, 8282.75, 8285.4, 8284.8, 8284.65, 8285.55, 8287.1, 8288.2, 8287.5, 8287.75, 8292.15, 8290.15, 8288.5, 8291.0, 8291.0, 8293.45, 8288.25, 8280.8, 8280.7, 8281.65, 8267.0, 8263.85, 8270.15, 8268.7, 8268.6, 8267.05, 8259.45, 8259.7, 8262.55, 8263.0, 8256.1, 8257.25, 8256.95, 8256.5, 8255.35, 8258.5, 8257.15, 8260.2, 8252.6, 8257.45]"
0,1,3,12,"[8292.15, 8290.15, 8288.5, 8291.0, 8291.0, 8293.45, 8288.25, 8280.8, 8280.7, 8281.65, 8267.0, 8263.85, 8270.15, 8268.7, 8268.6, 8267.05, 8259.45, 8259.7, 8262.55, 8263.0, 8256.1, 8257.25, 8256.95, 8256.5, 8255.35, 8258.5, 8257.15, 8260.2, 8252.6, 8257.45, 8265.5, 8263.65, 8264.8, 8265.85, 8263.6, 8262.4, 8264.8, 8262.45, 8264.7, 8264.2, 8264.55, 8266.7, 8265.75, 8266.35, 8268.1, 8267.6, 8264.8, 8263.35, 8267.6, 8269.05, 8271.0, 8271.1, 8269.6, 8266.95, 8267.3, 8266.25, 8267.15, 8267.9, 8268.3, 8270.85]","[8292.15, 8290.15, 8288.5, 8291.0, 8291.0, 8293.45, 8288.25, 8280.8, 8280.7, 8281.65, 8267.0, 8263.85, 8270.15, 8268.7, 8268.6, 8267.05, 8259.45, 8259.7, 8262.55, 8263.0, 8256.1, 8257.25, 8256.95, 8256.5, 8255.35, 8258.5, 8257.15, 8260.2, 8252.6, 8257.45, 8265.5, 8263.65, 8264.8, 8265.85, 8263.6, 8262.4, 8264.8, 8262.45, 8264.7, 8264.2, 8264.55, 8266.7, 8265.75, 8266.35, 8268.1, 8267.6, 8264.8, 8263.35, 8267.6, 8269.05, 8271.0, 8271.1, 8269.6, 8266.95, 8267.3, 8266.25, 8267.15, 8267.9, 8268.3, 8270.85, 8271.0, 8271.8, 8272.3, 8270.25, 8269.85, 8269.65, 8271.2, 8268.65, 8269.1, 8268.7, 8268.3, 8269.35, 8272.65, 8274.65, 8272.8, 8272.5, 8271.3, 8271.6, 8267.5, 8267.9, 8267.95, 8269.55, 8273.3, 8271.45, 8272.75, 8273.65, 8268.5, 8271.35, 8269.3, 8267.85]"
0,1,3,13,"[8271.0, 8271.8, 8272.3, 8270.25, 8269.85, 8269.65, 8271.2, 8268.65, 8269.1, 8268.7, 8268.3, 8269.35, 8272.65, 8274.65, 8272.8, 8272.5, 8271.3, 8271.6, 8267.5, 8267.9, 8267.95, 8269.55, 8273.3, 8271.45, 8272.75, 8273.65, 8268.5, 8271.35, 8269.3, 8267.85, 8267.6, 8270.05, 8269.25, 8271.85, 8275.1, 8277.9, 8279.65, 8280.6, 8278.1, 8277.45, 8278.8, 8277.5, 8276.0, 8274.1, 8277.55, 8286.3, 8286.35, 8282.45, 8282.85, 8281.5, 8281.0, 8283.6, 8280.5, 8283.4, 8282.6, 8280.3, 8281.65, 8283.0, 8282.1, 8282.0]","[8271.0, 8271.8, 8272.3, 8270.25, 8269.85, 8269.65, 8271.2, 8268.65, 8269.1, 8268.7, 8268.3, 8269.35, 8272.65, 8274.65, 8272.8, 8272.5, 8271.3, 8271.6, 8267.5, 8267.9, 8267.95, 8269.55, 8273.3, 8271.45, 8272.75, 8273.65, 8268.5, 8271.35, 8269.3, 8267.85, 8267.6, 8270.05, 8269.25, 8271.85, 8275.1, 8277.9, 8279.65, 8280.6, 8278.1, 8277.45, 8278.8, 8277.5, 8276.0, 8274.1, 8277.55, 8286.3, 8286.35, 8282.45, 8282.85, 8281.5, 8281.0, 8283.6, 8280.5, 8283.4, 8282.6, 8280.3, 8281.65, 8283.0, 8282.1, 8282.0, 8282.95, 8289.65, 8286.95, 8289.75, 8290.55, 8291.5, 8291.6, 8289.6, 8290.25, 8289.75, 8288.9, 8288.2, 8288.9, 8286.15, 8283.3, 8283.05, 8286.2, 8289.0, 8287.75, 8287.25, 8288.45, 8290.4, 8300.45, 8305.25, 8309.45, 8307.7, 8312.1, 8315.15, 8317.5, 8319.35]"
1,1,3,10,"[8336.35, 8337.5, 8336.6, 8335.1, 8335.35, 8337.95, 8339.3, 8340.65, 8339.0, 8339.55, 8340.1, 8339.0, 8339.55, 8339.55, 8336.7, 8337.15, 8336.15, 8336.35, 8336.85, 8334.15, 8332.25, 8333.1, 8333.55, 8334.6, 8335.3, 8336.6, 8335.35, 8335.6, 8336.75, 8337.9, 8338.45, 8340.9, 8338.7, 8336.45, 8337.65, 8338.7, 8341.1, 8341.0, 8342.1, 8340.75, 8341.45, 8344.0, 8343.65, 8343.8, 8343.65, 8342.6, 8342.3, 8343.85, 8342.15, 8341.85, 8342.15, 8342.85, 8342.25, 8341.95, 8342.6, 8340.9, 8340.45, 8339.4, 8338.2, 8337.95]","[8336.35, 8337.5, 8336.6, 8335.1, 8335.35, 8337.95, 8339.3, 8340.65, 8339.0, 8339.55, 8340.1, 8339.0, 8339.55, 8339.55, 8336.7, 8337.15, 8336.15, 8336.35, 8336.85, 8334.15, 8332.25, 8333.1, 8333.55, 8334.6, 8335.3, 8336.6, 8335.35, 8335.6, 8336.75, 8337.9, 8338.45, 8340.9, 8338.7, 8336.45, 8337.65, 8338.7, 8341.1, 8341.0, 8342.1, 8340.75, 8341.45, 8344.0, 8343.65, 8343.8, 8343.65, 8342.6, 8342.3, 8343.85, 8342.15, 8341.85, 8342.15, 8342.85, 8342.25, 8341.95, 8342.6, 8340.9, 8340.45, 8339.4, 8338.2, 8337.95, 8339.3, 8338.5, 8339.75, 8339.95, 8336.6, 8337.9, 8338.85, 8339.9, 8340.0, 8335.55, 8337.15, 8337.1, 8337.1, 8336.4, 8336.4, 8337.1, 8336.9, 8337.1, 8337.8, 8338.3, 8336.9, 8336.75, 8333.85, 8330.15, 8328.95, 8331.75, 8332.4, 8330.2, 8328.6, 8329.3]"
1,1,3,11,"[8339.3, 8338.5, 8339.75, 8339.95, 8336.6, 8337.9, 8338.85, 8339.9, 8340.0, 8335.55, 8337.15, 8337.1, 8337.1, 8336.4, 8336.4, 8337.1, 8336.9, 8337.1, 8337.8, 8338.3, 8336.9, 8336.75, 8333.85, 8330.15, 8328.95, 8331.75, 8332.4, 8330.2, 8328.6, 8329.3, 8329.05, 8323.8, 8324.4, 8328.8, 8326.95, 8328.65, 8330.4, 8329.3, 8330.2, 8334.05, 8334.35, 8336.8, 8335.35, 8333.9, 8333.25, 8331.45, 8331.25, 8333.3, 8331.9, 8333.4, 8336.65, 8338.75, 8339.0, 8339.1, 8341.85, 8341.9, 8342.4, 8343.15, 8339.1, 8338.5]","[8339.3, 8338.5, 8339.75, 8339.95, 8336.6, 8337.9, 8338.85, 8339.9, 8340.0, 8335.55, 8337.15, 8337.1, 8337.1, 8336.4, 8336.4, 8337.1, 8336.9, 8337.1, 8337.8, 8338.3, 8336.9, 8336.75, 8333.85, 8330.15, 8328.95, 8331.75, 8332.4, 8330.2, 8328.6, 8329.3, 8329.05, 8323.8, 8324.4, 8328.8, 8326.95, 8328.65, 8330.4, 8329.3, 8330.2, 8334.05, 8334.35, 8336.8, 8335.35, 8333.9, 8333.25, 8331.45, 8331.25, 8333.3, 8331.9, 8333.4, 8336.65, 8338.75, 8339.0, 8339.1, 8341.85, 8341.9, 8342.4, 8343.15, 8339.1, 8338.5, 8339.35, 8340.7, 8339.35, 8336.7, 8339.05, 8340.4, 8337.9, 8338.4, 8338.9, 8339.45, 8337.75, 8337.15, 8338.35, 8338.65, 8340.0, 8340.75, 8340.6, 8341.8, 8341.6, 8340.35, 8340.4, 8340.35, 8341.4, 8342.6, 8342.6, 8339.4, 8336.05, 8335.0, 8332.9, 8335.65]"
1,1,3,12,"[8339.35, 8340.7, 8339.35, 8336.7, 8339.05, 8340.4, 8337.9, 8338.4, 8338.9, 8339.45, 8337.75, 8337.15, 8338.35, 8338.65, 8340.0, 8340.75, 8340.6, 8341.8, 8341.6, 8340.35, 8340.4, 8340.35, 8341.4, 8342.6, 8342.6, 8339.4, 8336.05, 8335.0, 8332.9, 8335.65, 8332.65, 8331.1, 8333.6, 8333.95, 8334.45, 8333.15, 8333.15, 8330.4, 8325.2, 8325.5, 8325.15, 8324.45, 8324.45, 8324.5, 8328.65, 8328.45, 8329.45, 8329.25, 8326.9, 8327.2, 8327.15, 8328.05, 8328.5, 8330.65, 8330.65, 8329.1, 8330.3, 8331.8, 8332.75, 8332.6]","[8339.35, 8340.7, 8339.35, 8336.7, 8339.05, 8340.4, 8337.9, 8338.4, 8338.9, 8339.45, 8337.75, 8337.15, 8338.35, 8338.65, 8340.0, 8340.75, 8340.6, 8341.8, 8341.6, 8340.35, 8340.4, 8340.35, 8341.4, 8342.6, 8342.6, 8339.4, 8336.05, 8335.0, 8332.9, 8335.65, 8332.65, 8331.1, 8333.6, 8333.95, 8334.45, 8333.15, 8333.15, 8330.4, 8325.2, 8325.5, 8325.15, 8324.45, 8324.45, 8324.5, 8328.65, 8328.45, 8329.45, 8329.25, 8326.9, 8327.2, 8327.15, 8328.05, 8328.5, 8330.65, 8330.65, 8329.1, 8330.3, 8331.8, 8332.75, 8332.6, 8334.55, 8334.1, 8334.15, 8333.6, 8334.25, 8335.1, 8337.5, 8338.1, 8338.05, 8336.95, 8337.15, 8336.8, 8337.25, 8339.25, 8340.65, 8346.55, 8347.05, 8349.55, 8352.3, 8354.85, 8351.1, 8348.8, 8349.45, 8347.8, 8346.9, 8344.35, 8345.25, 8349.2, 8352.05, 8352.15]"
1,1,3,13,"[8334.55, 8334.1, 8334.15, 8333.6, 8334.25, 8335.1, 8337.5, 8338.1, 8338.05, 8336.95, 8337.15, 8336.8, 8337.25, 8339.25, 8340.65, 8346.55, 8347.05, 8349.55, 8352.3, 8354.85, 8351.1, 8348.8, 8349.45, 8347.8, 8346.9, 8344.35, 8345.25, 8349.2, 8352.05, 8352.15, 8349.65, 8346.8, 8347.8, 8344.6, 8346.05, 8343.55, 8341.85, 8342.9, 8346.45, 8349.9, 8347.5, 8347.2, 8349.35, 8348.95, 8351.0, 8350.95, 8350.5, 8352.8, 8350.95, 8351.75, 8354.2, 8351.4, 8352.1, 8352.6, 8355.5, 8354.05, 8355.1, 8352.4, 8350.75, 8352.4]","[8334.55, 8334.1, 8334.15, 8333.6, 8334.25, 8335.1, 8337.5, 8338.1, 8338.05, 8336.95, 8337.15, 8336.8, 8337.25, 8339.25, 8340.65, 8346.55, 8347.05, 8349.55, 8352.3, 8354.85, 8351.1, 8348.8, 8349.45, 8347.8, 8346.9, 8344.35, 8345.25, 8349.2, 8352.05, 8352.15, 8349.65, 8346.8, 8347.8, 8344.6, 8346.05, 8343.55, 8341.85, 8342.9, 8346.45, 8349.9, 8347.5, 8347.2, 8349.35, 8348.95, 8351.0, 8350.95, 8350.5, 8352.8, 8350.95, 8351.75, 8354.2, 8351.4, 8352.1, 8352.6, 8355.5, 8354.05, 8355.1, 8352.4, 8350.75, 8352.4, 8351.75, 8349.7, 8349.15, 8349.45, 8349.35, 8349.6, 8351.7, 8352.05, 8352.15, 8352.15, 8347.65, 8346.8, 8342.95, 8342.15, 8339.25, 8339.85, 8340.5, 8341.15, 8340.3, 8338.35, 8338.65, 8337.55, 8334.3, 8333.2, 8329.65, 8326.0, 8326.45, 8329.65, 8325.7, 8318.05]"
2,1,3,10,"[8307.55, 8308.05, 8308.35, 8306.85, 8303.05, 8305.25, 8302.4, 8299.65, 8301.4, 8303.8, 8301.25, 8301.5, 8300.85, 8303.1, 8304.0, 8300.6, 8297.8, 8291.45, 8291.55, 8297.5, 8295.05, 8294.85, 8293.5, 8291.1, 8291.4, 8292.85, 8298.2, 8301.05, 8303.05, 8303.85, 8301.25, 8297.85, 8295.6, 8296.25, 8296.35, 8299.4, 8302.8, 8303.4, 8299.95, 8300.65, 8301.75, 8300.05, 8300.75, 8299.15, 8298.65, 8301.45, 8303.1, 8304.85, 8306.4, 8306.95, 8308.35, 8307.75, 8304.75, 8304.4, 8306.15, 8307.0, 8305.9, 8305.65, 8306.65, 8304.65]","[8307.55, 8308.05, 8308.35, 8306.85, 8303.05, 8305.25, 8302.4, 8299.65, 8301.4, 8303.8, 8301.25, 8301.5, 8300.85, 8303.1, 8304.0, 8300.6, 8297.8, 8291.45, 8291.55, 8297.5, 8295.05, 8294.85, 8293.5, 8291.1, 8291.4, 8292.85, 8298.2, 8301.05, 8303.05, 8303.85, 8301.25, 8297.85, 8295.6, 8296.25, 8296.35, 8299.4, 8302.8, 8303.4, 8299.95, 8300.65, 8301.75, 8300.05, 8300.75, 8299.15, 8298.65, 8301.45, 8303.1, 8304.85, 8306.4, 8306.95, 8308.35, 8307.75, 8304.75, 8304.4, 8306.15, 8307.0, 8305.9, 8305.65, 8306.65, 8304.65, 8302.8, 8299.5, 8298.15, 8297.15, 8297.35, 8296.95, 8294.4, 8294.0, 8294.65, 8290.5, 8287.85, 8290.85, 8296.45, 8296.15, 8290.1, 8286.25, 8286.75, 8287.55, 8283.75, 8284.1, 8286.7, 8283.25, 8282.7, 8279.15, 8281.7, 8284.85, 8286.1, 8287.3, 8287.2, 8289.5]"
2,1,3,11,"[8302.8, 8299.5, 8298.15, 8297.15, 8297.35, 8296.95, 8294.4, 8294.0, 8294.65, 8290.5, 8287.85, 8290.85, 8296.45, 8296.15, 8290.1, 8286.25, 8286.75, 8287.55, 8283.75, 8284.1, 8286.7, 8283.25, 8282.7, 8279.15, 8281.7, 8284.85, 8286.1, 8287.3, 8287.2, 8289.5, 8290.15, 8284.5, 8286.55, 8285.25, 8286.3, 8288.7, 8289.65, 8288.5, 8282.1, 8282.0, 8283.8, 8285.9, 8289.9, 8290.85, 8288.9, 8288.45, 8290.25, 8290.55, 8291.45, 8292.05, 8292.6, 8291.05, 8290.05, 8287.95, 8287.4, 8282.25, 8282.95, 8283.1, 8283.4, 8283.6]","[8302.8, 8299.5, 8298.15, 8297.15, 8297.35, 8296.95, 8294.4, 8294.0, 8294.65, 8290.5, 8287.85, 8290.85, 8296.45, 8296.15, 8290.1, 8286.25, 8286.75, 8287.55, 8283.75, 8284.1, 8286.7, 8283.25, 8282.7, 8279.15, 8281.7, 8284.85, 8286.1, 8287.3, 8287.2, 8289.5, 8290.15, 8284.5, 8286.55, 8285.25, 8286.3, 8288.7, 8289.65, 8288.5, 8282.1, 8282.0, 8283.8, 8285.9, 8289.9, 8290.85, 8288.9, 8288.45, 8290.25, 8290.55, 8291.45, 8292.05, 8292.6, 8291.05, 8290.05, 8287.95, 8287.4, 8282.25, 8282.95, 8283.1, 8283.4, 8283.6, 8288.2, 8280.45, 8281.8, 8282.5, 8272.85, 8276.65, 8280.65, 8276.25, 8276.05, 8276.8, 8277.55, 8279.05, 8279.8, 8275.1, 8274.9, 8274.65, 8275.75, 8275.25, 8272.95, 8275.6, 8276.0, 8273.5, 8275.65, 8274.6, 8274.05, 8267.6, 8250.25, 8250.0, 8250.9, 8247.15]"
